ID,Prob1
0, 0.53
1, 0.26
2, 0.22
3, 0.43
4, 0.22
5, 0.51
6, 0.53
7, 0.24
8, 0.30
9, 0.73
10, 0.50
11, 0.76
12, 0.78
13, 0.26
14, 0.22
15, 0.22
16, 0.78
17, 0.25
18, 0.22
19, 0.25
20, 0.24
21, 0.22
22, 0.35
23, 0.48
24, 0.59
25, 0.75
26, 0.57
27, 0.22
28, 0.75
29, 0.70
30, 0.25
31, 0.35
32, 0.74
33, 0.78
34, 0.68
35, 0.71
36, 0.22
37, 0.22
38, 0.42
39, 0.22
40, 0.37
41, 0.22
42, 0.22
43, 0.67
44, 0.25
45, 0.34
46, 0.70
47, 0.25
48, 0.22
49, 0.78
50, 0.49
51, 0.25
52, 0.75
53, 0.31
54, 0.22
55, 0.50
56, 0.22
57, 0.40
58, 0.24
59, 0.62
60, 0.55
61, 0.25
62, 0.24
63, 0.33
64, 0.46
65, 0.24
66, 0.68
67, 0.52
68, 0.24
69, 0.30
70, 0.22
71, 0.24
72, 0.32
73, 0.34
74, 0.23
75, 0.30
76, 0.40
77, 0.55
78, 0.23
79, 0.22
80, 0.22
81, 0.49
82, 0.43
83, 0.64
84, 0.78
85, 0.49
86, 0.51
87, 0.54
88, 0.25
89, 0.55
90, 0.22
91, 0.56
92, 0.35
93, 0.33
94, 0.22
95, 0.65
96, 0.24
97, 0.57
98, 0.69
99, 0.53
100, 0.22
101, 0.22
102, 0.62
103, 0.22
104, 0.63
105, 0.78
106, 0.50
107, 0.22
108, 0.78
109, 0.78
110, 0.22
111, 0.23
112, 0.22
113, 0.22
114, 0.67
115, 0.25
116, 0.43
117, 0.29
118, 0.60
119, 0.22
120, 0.24
121, 0.45
122, 0.31
123, 0.24
124, 0.40
125, 0.66
126, 0.40
127, 0.61
128, 0.48
129, 0.40
130, 0.29
131, 0.29
132, 0.40
133, 0.78
134, 0.38
135, 0.30
136, 0.25
137, 0.69
138, 0.40
139, 0.22
140, 0.35
141, 0.62
142, 0.29
143, 0.45
144, 0.65
145, 0.72
146, 0.22
147, 0.22
148, 0.41
149, 0.42
150, 0.78
151, 0.28
152, 0.74
153, 0.22
154, 0.54
155, 0.22
156, 0.35
157, 0.38
158, 0.75
159, 0.23
160, 0.22
161, 0.22
162, 0.65
163, 0.28
164, 0.22
165, 0.23
166, 0.78
167, 0.22
168, 0.51
169, 0.69
170, 0.32
171, 0.55
172, 0.35
173, 0.69
174, 0.78
175, 0.22
176, 0.27
177, 0.71
178, 0.22
179, 0.29
180, 0.33
181, 0.75
182, 0.64
183, 0.39
184, 0.57
185, 0.71
186, 0.34
187, 0.27
188, 0.22
189, 0.74
190, 0.54
191, 0.22
192, 0.52
193, 0.55
194, 0.66
195, 0.46
196, 0.22
197, 0.22
